"echs","N","F","R","L"
1,60,10,11.47,24.03
1,60,20,43.75,80.32
1,60,28.5,81.75,160.28
1,60,40,157.07,314.83
2,60,50,246.6,484.22
2,60,66.6,429.65,853.93
2,60,100,969.64,1927.87
2,80,10,19,39.02
3,80,20,73.69,140.13
3,80,28.5,142.48,281.67
3,80,40,276.65,553.88
3,80,50,433.39,857.68
1,80,66.6,761,1516.47
1,80,100,1716.53,3421.43
1,100,10,28.67,58.3
1,100,20,112.18,217.03
2,100,28.5,220.58,437.74
2,100,40,430.39,861.22
2,100,50,673.56,1337.85
2,100,66.6,1187.02,2368.31
3,100,100,2676.82,5341.72
3,120,10,40.49,81.85
3,120,20,159.23,311.01
3,120,28.5,316.02,628.49
1,120,40,618.3,1236.86
1,120,50,967.1,1924.72
1,120,66.6,1707.71,3409.44
1,120,100,3850.5,7688.74
2,60,10,11.47,24.03
2,60,20,43.75,80.32
2,60,28.5,81.75,160.28
2,60,40,157.07,314.83
3,60,50,246.6,484.22
3,60,66.6,429.65,853.93
3,60,100,969.64,1927.87
3,80,10,19,39.02
1,80,20,73.69,140.13
1,80,28.5,142.48,281.67
1,80,40,276.65,553.88
1,80,50,433.39,857.68
2,80,66.6,761,1516.47
2,80,100,1716.53,3421.43
2,100,10,28.67,58.3
2,100,20,112.18,217.03
3,100,28.5,220.58,437.74
3,100,40,430.39,861.22
3,100,50,673.56,1337.85
3,100,66.6,1187.02,2368.31
1,100,100,2676.82,5341.72
1,120,10,40.49,81.85
1,120,20,159.23,311.01
1,120,28.5,316.02,628.49
2,120,40,618.3,1236.86
2,120,50,967.1,1924.72
2,120,66.6,1707.71,3409.44
2,120,100,3850.5,7688.74
3,60,10,11.47,24.03
3,60,20,43.75,80.32
3,60,28.5,81.75,160.28
3,60,40,157.07,314.83
1,60,50,246.6,484.22
1,60,66.6,429.65,853.93
1,60,100,969.64,1927.87
1,80,10,19,39.02
2,80,20,73.69,140.13
2,80,28.5,142.48,281.67
2,80,40,276.65,553.88
2,80,50,433.39,857.68
3,80,66.6,761,1516.47
3,80,100,1716.53,3421.43
3,100,10,28.67,58.3
3,100,20,112.18,217.03
1,100,28.5,220.58,437.74
1,100,40,430.39,861.22
1,100,50,673.56,1337.85
1,100,66.6,1187.02,2368.31
2,100,100,2676.82,5341.72
2,120,10,40.49,81.85
2,120,20,159.23,311.01
2,120,28.5,316.02,628.49
3,120,40,618.3,1236.86
3,120,50,967.1,1924.72
3,120,66.6,1707.71,3409.44
3,120,100,3850.5,7688.74
