N;L1;R1;Q1;L2;R2;Q2;L3;R3;Q3;Ln;Rn;Qn
120;3,95;396;6,24;3,24;347;5,86;3,85;424;5,71;4,24;105;25,2
100;2,69;267;6,32;2,22;238;5,85;2,63;286;5,77;2,89;73,1;24,7
90;2,14;202;6,66;1,78;183;6,11;2,09;218;6,03;2,28;56,4;25,3
80;1,64;165;6,24;1,41;138,9;6,37;1,68;152;6,93;1,78;42,9;26,1
70;1,25;117;6,72;1,05;109;6,05;1,23;126,9;6,1;1,33;33,2;25,3
60;0,917;83,9;6,86;0,77;78,9;6,13;0,897;91,6;6,15;0,972;25,06;24,3
55;0,767;69,15;6,96;0,642;66,21;6,09;0,751;75,13;6,28;0,808;20,39;24,95
50;0,627;58,32;6,75;0,521;56,86;5,75;0,614;63,5;6,07;0,662;17,74;23,45
45;0,508;47,65;6,7;0,427;46,14;5,82;0,498;51,6;6,06;0,535;16,07;20,91
40;0,399;38,3;6,55;0,337;37,5;5,65;0,392;41,08;3,8;0,419;13,43;19,67
