ech;F;N;L;R
1;10;60;0;0
1;20;60;1;1
1;28,5;60;2;2
1;40;60;3;3
1;50;60;4;4
1;66,6;60;5;5
1;100;60;6;6
1;10;80;7;7
1;20;80;8;8
1;28,5;80;9;9
1;40;80;10;10
1;50;80;11;11
1;66,6;80;12;12
1;100;80;13;13
1;10;100;14;14
1;20;100;15;15
1;28,5;100;16;16
1;40;100;17;17
1;50;100;18;18
1;66,6;100;19;19
1;100;100;20;20
1;10;120;21;21
1;20;120;22;22
1;28,5;120;23;23
1;40;120;24;24
1;50;120;25;25
1;66,6;120;26;26
1;100;120;27;27
2;10;60;28;28
2;20;60;29;29
2;28,5;60;30;30
2;40;60;31;31
2;50;60;32;32
2;66,6;60;33;33
2;100;60;34;34
2;10;80;35;35
2;20;80;36;36
2;28,5;80;37;37
2;40;80;38;38
2;50;80;39;39
2;66,6;80;40;40
2;100;80;41;41
2;10;100;42;42
2;20;100;43;43
2;28,5;100;44;44
2;40;100;45;45
2;50;100;46;46
2;66,6;100;47;47
2;100;100;48;48
2;10;120;49;49
2;20;120;50;50
2;28,5;120;51;51
2;40;120;52;52
2;50;120;53;53
2;66,6;120;54;54
2;100;120;55;55
3;10;60;56;56
3;20;60;57;57
3;28,5;60;58;58
3;40;60;59;59
3;50;60;60;60
3;66,6;60;61;61
3;100;60;62;62
3;10;80;63;63
3;20;80;64;64
3;28,5;80;65;65
3;40;80;66;66
3;50;80;67;67
3;66,6;80;68;68
3;100;80;69;69
3;10;100;70;70
3;20;100;71;71
3;28,5;100;72;72
3;40;100;73;73
3;50;100;74;74
3;66,6;100;75;75
3;100;100;76;76
3;10;120;77;77
3;20;120;78;78
3;28,5;120;79;79
3;40;120;80;80
3;50;120;81;81
3;66,6;120;82;82
3;100;120;83;83
