N;L;R;Q;Carte
120;3,95;396;6,24;1
100;2,69;267;6,32;1
90;2,14;202;6,66;1
80;1,64;165;6,24;1
70;1,25;117;6,72;1
60;0,917;83,9;6,86;1
55;0,767;69,15;6,96;1
50;0,627;58,32;6,75;1
45;0,508;47,65;6,7;1
40;0,399;38,3;6,55;1
120;3,24;347;5,86;2
100;2,22;238;5,85;2
90;1,78;183;6,11;2
80;1,41;138,9;6,37;2
70;1,05;109;6,05;2
60;0,77;78,9;6,13;2
55;0,642;66,21;6,09;2
50;0,521;56,86;5,75;2
45;0,427;46,14;5,82;2
40;0,337;37,5;5,65;2
120;3,85;424;5,71;3
100;2,63;286;5,77;3
90;2,09;218;6,03;3
80;1,68;152;6,93;3
70;1,23;126,9;6,1;3
60;0,897;91,6;6,15;3
55;0,751;75,13;6,28;3
50;0,614;63,5;6,07;3
45;0,498;51,6;6,06;3
40;0,392;41,08;3,8;3
